kids,children
bad,negative
good,positive
really big,considerable
right,correct
wrong,incorrect
smart,intelligent
cheap,inexpensive
loaded,rich
say sorry,apologize
go up,increase
go down,decrease
set up,establish
look at,examine
blow up,explode
find out,discover
bring about,cause
put off,"postpone, delay"
rack up,accumulate
make up,fabricate
stand for,represent
find out,"discover, ascertain"
leave out,omit
point out,indicate
go against,oppose
get in touch with,contact
It’s about,"It concerns, It’s in regards to"
need to,required
think about,consider
get,obtain
put up,tolerate
deal with,handle
seem,appear
show,"demonstrate, illustrate, portray"
start,commence
keep,retain
free,release
get on someone’s nerves,bother
ring up,call
show up,arrive
let,permit
fill in,"substitute, inform"
block,undermine
"give the go ahead, greenlight",authorize
Anyways,Nevertheless
Plus,Moreover/ Furthermore
But,However
So,Therefore/Thus
Also,"In addition, Additionally"
ASAP,as soon as possible/at your earliest convenience
Okay,acceptable
In the meantime,In the interim
I think,"In my opinion,"
"In the end,",Finally
To sum up,"In conclusion,"
In a nutshell,To summarize
"Anyway,",Notwithstanding
All right,Acceptable
Also,Moreover/ Furthermore
OKay,acceptable
Basically,To summarize
